ID,t2w_spac_x,t2w_spac_y,t2w_spac_z
s_10223,0.6445310115814209,0.6445260047912598,5.9999823570251465
s_10095,0.5859379768371582,0.5859429836273193,5.499995231628418
s_10087,0.5859379768371582,0.5859339833259583,5.500021934509277
s_10168,0.5859379768371582,0.5859379768371582,5.800039768218994
s_10067,0.5859379768371582,0.5859379768371582,5.5
s_10094,0.6445310115814209,0.6445379853248596,6.4999680519104
s_10232,0.625,0.6249979734420776,5.999916076660156
s_10201,0.625,0.625,5.5
s_10124,0.625,0.6250020265579224,5.500025272369385
s_10178,0.625,0.6250090003013611,5.500003337860107
s_10057,0.6445310115814209,0.6445299983024597,6.4999918937683105
s_10214,0.484375,0.484375,4.8000006675720215
s_10219,0.625,0.625,5.5
s_10085,0.5859379768371582,0.5859439969062805,5.499994277954102
s_10146,0.625,0.6250020265579224,5.500003814697266
s_10119,0.6835939884185791,0.6836000084877014,5.7999796867370605
s_10080,0.625,0.6249949932098389,5.499960899353027
s_10193,0.6054689884185791,0.6054700016975403,5.800030708312988
s_10189,0.6445310115814209,0.6445289850234985,5.800018787384033
s_10142,0.484375,0.484375,4.80000114440918
s_10155,0.5859379768371582,0.5859410166740417,5.500059604644775
s_10070,0.484375,0.484375,4.799998760223389
s_10159,0.5859379768371582,0.5859379768371582,5.50001859664917
s_10082,0.5859379768371582,0.5859400033950806,5.50004768371582
s_10173,0.625,0.6250079870223999,5.5000081062316895
s_10137,0.625,0.625,5.5
s_10233,0.625,0.625,5.500005722045898
s_10059,0.625,0.6250029802322388,5.500041484832764
s_10194,0.625,0.6250069737434387,5.800009727478027
s_10125,0.484375,0.484375,5.400000095367432
s_10143,0.6640620231628418,0.6640530228614807,6.499965190887451
s_10154,0.625,0.625,5.5
s_10192,0.5859379768371582,0.5859299898147583,5.899969100952148
s_10149,0.484375,0.484375,4.799998760223389
s_10055,0.6445310115814209,0.6445310115814209,5.800000190734863
s_10238,0.5859379768371582,0.5859289765357971,5.499993324279785
s_10162,0.546875,0.5468689799308777,5.000037670135498
s_10157,0.5859379768371582,0.5859410166740417,10.99997329711914
s_10050,0.703125,0.7031300067901611,5.999940872192383
s_10200,0.6445310115814209,0.6445310115814209,5.999969005584717
s_10199,0.484375,0.484375,4.799998760223389
s_10167,0.5859379768371582,0.5859379768371582,5.5
s_10226,0.625,0.625,5.5
s_10236,0.625,0.6249930262565613,5.500013828277588
s_10175,0.625,0.6249960064888,5.5000457763671875
s_10083,0.703125,0.7031170129776001,6.0000081062316895
s_10130,0.5859379768371582,0.5859379768371582,5.5
s_10165,0.5859379768371582,0.5859450101852417,5.499984264373779
s_10115,0.625,0.6250069737434387,5.500038146972656
s_10122,0.5859379768371582,0.5859389901161194,5.500048637390137
s_10048,0.625,0.625,5.5
s_10171,0.625,0.6250029802322388,5.499990940093994
s_10118,0.484375,0.484375,4.8000006675720215
s_10104,0.546875,0.546875,5.0
s_10190,0.6445310115814209,0.6445320248603821,5.500035762786865
s_10139,0.5859379768371582,0.5859379768371582,4.999977111816406
s_10145,0.625,0.6249979734420776,5.499960422515869
s_10105,0.5859379768371582,0.5859389901161194,5.500003814697266
s_10063,0.546875,0.5468789935112,4.999981880187988
s_10077,0.5859379768371582,0.5859360098838806,5.49996280670166
s_10078,0.625,0.6249979734420776,5.499984264373779
s_10132,0.625,0.6249920129776001,5.299954891204834
s_10073,0.5859379768371582,0.5859379768371582,5.5
s_10112,0.625,0.6250060200691223,5.499998092651367
s_10076,0.5,0.5,4.799999713897705
s_10212,0.484375,0.484375,4.799999713897705
s_10134,0.625,0.6249989867210388,5.500038146972656
s_10150,0.5859379768371582,0.5859310030937195,5.500010013580322
s_10230,0.5859379768371582,0.5859379768371582,5.5
s_10058,0.6445310115814209,0.6445260047912598,5.999949932098389
s_10217,0.625,0.6249949932098389,5.499960899353027
s_10107,0.625,0.625,6.0
s_10049,0.625,0.6249979734420776,5.499979019165039
s_10135,0.625,0.625,5.5
s_10215,0.484375,0.484375,4.800000190734863
s_10220,0.484375,0.484375,4.800000190734863
s_10174,0.5859379768371582,0.5859439969062805,5.500051975250244
s_10177,0.5859379768371582,0.5859379768371582,5.5
s_10090,0.5859379768371582,0.5859379768371582,6.0
s_10108,0.625,0.6249909996986389,5.999948024749756
s_10099,0.5859379768371582,0.5859460234642029,5.500082492828369
s_10102,0.625,0.6249930262565613,5.500074863433838
s_10100,0.625,0.625,5.500010013580322
s_10074,0.5,0.5,5.200000762939453
s_10234,0.625,0.6250060200691223,5.4999918937683105
