ID,image_width,image_height,image_depth
s_818,512,512,12
s_502,512,512,12
s_196,512,512,12
s_819,512,512,12
s_856,512,512,12
s_40,512,512,12
s_80,640,640,12
s_263,640,640,12
s_262,512,512,12
s_145,512,512,12
s_190,512,512,12
s_95,512,512,12
s_110,512,512,12
s_715,512,512,12
s_329,320,320,12
s_814,512,512,14
s_129,512,512,12
s_238,512,512,12
s_386,512,512,12
s_445,512,512,12
s_101,512,512,12
s_115,512,512,12
s_44,640,640,12
s_205,640,640,12
s_479,512,512,12
s_881,512,512,12
s_99,512,512,12
s_483,512,512,12
s_331,640,640,12
s_143,512,512,12
s_227,512,512,14
s_82,512,512,12
s_151,512,512,12
s_851,640,640,12
s_33,640,640,12
s_62,512,512,12
s_292,640,640,12
s_1011,512,512,12
s_66,512,512,12
s_663,512,512,12
s_349,512,512,12
s_785,512,512,12
s_398,640,640,12
s_864,512,512,12
s_427,640,640,12
s_130,640,640,14
s_213,640,640,15
s_838,512,512,12
s_497,640,640,12
s_461,640,640,12
s_796,640,640,12
s_470,512,512,12
s_282,512,512,12
s_133,640,640,12
s_405,512,512,12
s_392,640,640,12
s_166,320,320,12
s_508,512,512,12
s_858,512,512,12
s_924,512,512,12
s_803,512,512,12
s_710,512,512,12
s_13,320,320,12
s_241,640,640,12
s_204,320,320,12
s_538,512,512,12
s_910,320,320,12
s_269,512,512,12
s_761,512,512,12
s_665,512,512,12
s_360,512,512,12
s_311,640,640,12
s_458,512,512,12
s_174,640,640,12
s_243,512,512,12
s_494,512,512,12
s_575,512,512,12
s_88,512,512,14
s_643,512,512,12
s_533,640,640,12
s_836,384,378,12
s_945,640,640,12
s_651,512,512,12
s_555,512,512,12
s_272,512,512,12
s_67,512,512,12
s_442,640,640,12
s_744,512,512,12
s_428,640,640,12
s_589,640,640,12
s_714,384,378,12
s_632,512,512,12
s_624,512,512,12
s_51,640,640,12
s_696,640,640,12
s_708,512,512,12
s_530,640,640,12
s_69,640,640,12
s_774,640,640,12
s_503,512,512,12
s_411,512,512,12
s_350,512,512,12
s_884,512,512,12
s_63,512,512,12
s_638,384,378,12
s_332,512,512,12
s_964,384,378,12
s_471,512,512,12
s_108,512,512,12
s_506,512,512,12
