,Test,p-value
original_glcm_Imc2,Kruskal-Wallis,2.7271674201289185e-86
squareroot_glcm_Imc2,Kruskal-Wallis,1.1388710890024624e-85
original_glcm_Correlation,Kruskal-Wallis,6.946055193445252e-85
logarithm_glcm_Imc1,Kruskal-Wallis,5.908376377940735e-84
squareroot_glcm_Correlation,Kruskal-Wallis,9.474380503450572e-84
squareroot_glcm_Imc1,Kruskal-Wallis,1.953630136249841e-82
original_glcm_Imc1,Kruskal-Wallis,2.357069827834261e-82
logarithm_glcm_Imc2,Kruskal-Wallis,3.1376816358973984e-82
logarithm_glcm_Correlation,Kruskal-Wallis,5.1220881011663994e-82
wavelet2-LL_glcm_Imc2,Kruskal-Wallis,5.440771839947502e-82
log-sigma-2-mm-3D_firstorder_10Percentile,Kruskal-Wallis,8.076798129241891e-82
original_glcm_ClusterTendency,Kruskal-Wallis,1.0332402813946599e-79
wavelet2-LL_glcm_Correlation,Kruskal-Wallis,2.415032359160124e-79
squareroot_firstorder_Kurtosis,Kruskal-Wallis,3.1095464118229837e-79
original_ngtdm_Contrast,Kruskal-Wallis,4.2448774566884685e-79
original_glcm_MCC,Kruskal-Wallis,1.3811137725982335e-78
squareroot_glszm_ZoneEntropy,Kruskal-Wallis,1.5505242197401746e-78
exponential_firstorder_RobustMeanAbsoluteDeviation,Kruskal-Wallis,1.6216441820742916e-78
original_glrlm_RunEntropy,Kruskal-Wallis,2.27047216454902e-78
original_glcm_SumSquares,Kruskal-Wallis,7.479870411271278e-78
exponential_firstorder_MeanAbsoluteDeviation,Kruskal-Wallis,1.0780872052491282e-77
squareroot_glcm_MCC,Kruskal-Wallis,4.579259949751042e-77
original_firstorder_RobustMeanAbsoluteDeviation,Kruskal-Wallis,6.413988238950298e-77
original_firstorder_MeanAbsoluteDeviation,Kruskal-Wallis,1.0944319631331567e-76
logarithm_firstorder_Kurtosis,Kruskal-Wallis,1.5402696050909452e-76
original_glcm_ClusterShade,Kruskal-Wallis,7.215654431351991e-76
original_glcm_SumEntropy,Kruskal-Wallis,7.695656739844217e-76
logarithm_firstorder_Skewness,Kruskal-Wallis,9.382876425850105e-76
squareroot_firstorder_90Percentile,Kruskal-Wallis,1.176207162019531e-75
original_firstorder_90Percentile,Kruskal-Wallis,3.407336982766154e-75
original_gldm_GrayLevelVariance,Kruskal-Wallis,3.9201585041811787e-75
original_firstorder_Variance,Kruskal-Wallis,3.963535650303088e-75
log-sigma-0-6-mm-3D_firstorder_10Percentile,Kruskal-Wallis,1.050392847605497e-74
squareroot_ngtdm_Contrast,Kruskal-Wallis,1.1137016649610013e-74
squareroot_glcm_Idmn,Kruskal-Wallis,1.3245365655379625e-74
original_glcm_ClusterProminence,Kruskal-Wallis,2.027024746245112e-74
wavelet2-LL_glcm_ClusterTendency,Kruskal-Wallis,2.0300626839357596e-74
logarithm_glszm_ZoneEntropy,Kruskal-Wallis,2.612555908069768e-74
exponential_firstorder_InterquartileRange,Kruskal-Wallis,3.802403222413258e-74
logarithm_glcm_MCC,Kruskal-Wallis,4.683327181751202e-74
original_firstorder_InterquartileRange,Kruskal-Wallis,5.3884141139398634e-74
wavelet2-LL_glcm_SumEntropy,Kruskal-Wallis,6.153559379823217e-74
original_glszm_ZoneEntropy,Kruskal-Wallis,1.4117257888271513e-73
squareroot_glcm_ClusterTendency,Kruskal-Wallis,2.6863496344631016e-73
logarithm_glcm_Idmn,Kruskal-Wallis,2.967386534160054e-73
original_glrlm_GrayLevelVariance,Kruskal-Wallis,3.5521117895620785e-73
wavelet2-LL_glcm_Imc1,Kruskal-Wallis,3.633873142272506e-73
exponential_firstorder_Variance,Kruskal-Wallis,8.109311205247401e-73
