,Test,p-value
log-sigma-2-mm-3D_firstorder_10Percentile,Kruskal-Wallis,1.0300236976280491e-66
original_glcm_Correlation,Kruskal-Wallis,1.5392916728023811e-65
original_glcm_Imc2,Kruskal-Wallis,1.7952398537251043e-65
squareroot_glcm_Correlation,Kruskal-Wallis,1.9107672241734366e-63
original_glrlm_RunEntropy,Kruskal-Wallis,2.35127650949031e-62
logarithm_glcm_Correlation,Kruskal-Wallis,2.4246064346583438e-62
squareroot_firstorder_Kurtosis,Kruskal-Wallis,5.036367069556935e-62
original_ngtdm_Contrast,Kruskal-Wallis,1.8952385342796135e-61
original_glcm_MCC,Kruskal-Wallis,5.586989981550605e-61
squareroot_glcm_Imc2,Kruskal-Wallis,2.363196943648118e-60
log-sigma-2-mm-3D_firstorder_Skewness,ANOVA,4.896800742593841e-59
logarithm_firstorder_Kurtosis,Kruskal-Wallis,5.103245056967655e-58
squareroot_firstorder_90Percentile,Kruskal-Wallis,1.0178022863062313e-57
logarithm_glcm_Imc2,Kruskal-Wallis,1.1924652528253978e-57
original_glcm_ClusterTendency,Kruskal-Wallis,2.4873953046111686e-57
original_firstorder_RobustMeanAbsoluteDeviation,Kruskal-Wallis,7.110185881080202e-57
log-sigma-3-mm-3D_firstorder_10Percentile,Kruskal-Wallis,1.3332009762018943e-56
logarithm_firstorder_90Percentile,Kruskal-Wallis,2.3565295704907774e-56
log-sigma-0-6-mm-3D_firstorder_10Percentile,Kruskal-Wallis,2.5862716522110753e-56
exponential_firstorder_RobustMeanAbsoluteDeviation,Kruskal-Wallis,6.015599039429663e-56
logarithm_firstorder_Skewness,Kruskal-Wallis,7.243486641386951e-56
squareroot_glcm_Idmn,Kruskal-Wallis,9.148368151580323e-56
squareroot_glcm_MCC,Kruskal-Wallis,1.1121081227873848e-55
original_firstorder_InterquartileRange,Kruskal-Wallis,1.3762597449195477e-55
original_glcm_Imc1,Kruskal-Wallis,1.4496561966779865e-55
wavelet2-LL_glcm_SumEntropy,Kruskal-Wallis,3.0456621298013855e-55
wavelet2-LL_firstorder_Kurtosis,Kruskal-Wallis,5.11617348978734e-55
original_glcm_SumSquares,Kruskal-Wallis,7.398801045313313e-55
original_glcm_SumEntropy,Kruskal-Wallis,7.766739870414059e-55
original_firstorder_MeanAbsoluteDeviation,Kruskal-Wallis,8.529677392361911e-55
squareroot_ngtdm_Contrast,Kruskal-Wallis,1.4111406626112726e-53
squareroot_firstorder_Skewness,Kruskal-Wallis,1.93747481132055e-53
squareroot_glcm_Idn,Kruskal-Wallis,2.773950075271484e-53
exponential_firstorder_InterquartileRange,Kruskal-Wallis,3.0955371303556463e-53
logarithm_firstorder_RootMeanSquared,Kruskal-Wallis,5.165833173131006e-53
logarithm_glcm_Idn,Kruskal-Wallis,6.215880856425424e-53
logarithm_glcm_Idmn,Kruskal-Wallis,8.259828017012212e-53
original_shape_Sphericity,Kruskal-Wallis,1.0022222856521968e-52
exponential_firstorder_MeanAbsoluteDeviation,Kruskal-Wallis,1.6545142621823681e-52
squareroot_glrlm_RunEntropy,Kruskal-Wallis,1.7988485208264938e-52
logarithm_glcm_MCC,Kruskal-Wallis,2.9969538830630755e-52
original_gldm_DependenceEntropy,Kruskal-Wallis,3.2650383755710705e-52
original_firstorder_90Percentile,Kruskal-Wallis,6.194698978331233e-52
squareroot_glcm_Imc1,Kruskal-Wallis,1.1340981263561552e-51
logarithm_glcm_Imc1,Kruskal-Wallis,1.4385320610424332e-51
wavelet2-LL_glcm_ClusterTendency,Kruskal-Wallis,1.55155559700143e-51
original_gldm_GrayLevelVariance,Kruskal-Wallis,2.3652708105130205e-51
original_firstorder_Variance,Kruskal-Wallis,3.0191152895207273e-51
