,Test,p-value
original_glcm_MCC,Kruskal-Wallis,8.050945107351838e-66
original_glcm_Imc2,Kruskal-Wallis,9.453260613215308e-66
original_glcm_Correlation,Kruskal-Wallis,1.520660797829616e-64
logarithm_glcm_Correlation,Kruskal-Wallis,8.064762534564948e-64
squareroot_glcm_Correlation,Kruskal-Wallis,8.562767930215499e-64
squareroot_glcm_MCC,Kruskal-Wallis,1.9811776514541647e-63
squareroot_glcm_Imc2,Kruskal-Wallis,2.3586514023627527e-63
original_glcm_Imc1,Kruskal-Wallis,6.873323027540832e-63
log-sigma-2-mm-3D_firstorder_10Percentile,Kruskal-Wallis,1.5556908273144152e-61
squareroot_glcm_Imc1,Kruskal-Wallis,2.4093555252486925e-61
logarithm_glcm_MCC,Kruskal-Wallis,2.645485056177107e-61
logarithm_glcm_Imc1,Kruskal-Wallis,4.245472584480574e-61
logarithm_glcm_Imc2,Kruskal-Wallis,9.425907924104e-60
squareroot_firstorder_Kurtosis,Kruskal-Wallis,6.01064839990849e-55
logarithm_firstorder_Kurtosis,Kruskal-Wallis,5.226265497375129e-54
logarithm_firstorder_Skewness,Kruskal-Wallis,1.2444727823263205e-53
log-sigma-3-mm-3D_firstorder_10Percentile,Kruskal-Wallis,1.211805694234291e-51
wavelet2-LL_glcm_Correlation,Kruskal-Wallis,1.400483929659178e-51
original_glcm_ClusterTendency,Kruskal-Wallis,1.9234181070169536e-51
original_glcm_ClusterShade,Kruskal-Wallis,5.440058737418292e-51
squareroot_glcm_Idmn,Kruskal-Wallis,1.085685447937752e-50
squareroot_ngtdm_Contrast,Kruskal-Wallis,1.9511361171120793e-50
squareroot_firstorder_90Percentile,Kruskal-Wallis,6.076473682779471e-50
squareroot_glszm_ZoneEntropy,Kruskal-Wallis,5.9095249273953955e-49
original_ngtdm_Contrast,Kruskal-Wallis,8.32852232956462e-49
original_glcm_SumSquares,Kruskal-Wallis,8.416631096782895e-49
wavelet2-LL_glcm_Imc2,Kruskal-Wallis,1.483498277342309e-48
original_glrlm_RunEntropy,Kruskal-Wallis,1.9757109445595374e-48
log-sigma-0-6-mm-3D_firstorder_10Percentile,Kruskal-Wallis,2.815850143155667e-48
logarithm_glcm_Idmn,Kruskal-Wallis,3.185693840233585e-48
original_glcm_ClusterProminence,Kruskal-Wallis,4.208047067515888e-48
squareroot_glcm_Idn,Kruskal-Wallis,5.1498081769012746e-48
wavelet2-LL_glcm_Imc1,Kruskal-Wallis,9.512843846258494e-48
logarithm_firstorder_90Percentile,Kruskal-Wallis,9.543975982857408e-48
log-sigma-3-mm-3D_glszm_ZoneEntropy,Kruskal-Wallis,1.1574728870021138e-47
logarithm_firstorder_RootMeanSquared,Kruskal-Wallis,1.3993646586478462e-47
log-sigma-2-mm-3D_glrlm_RunEntropy,Kruskal-Wallis,1.804635107613747e-47
exponential_firstorder_RobustMeanAbsoluteDeviation,Kruskal-Wallis,2.269209231007975e-47
exponential_firstorder_MeanAbsoluteDeviation,Kruskal-Wallis,4.13606725089043e-47
squareroot_glcm_ClusterTendency,Kruskal-Wallis,4.40250681441955e-47
original_glcm_SumEntropy,Kruskal-Wallis,5.473088381227339e-47
logarithm_glcm_Idn,Kruskal-Wallis,6.501193866002439e-47
squareroot_firstorder_Skewness,Kruskal-Wallis,7.971083439632304e-47
squareroot_glcm_InverseVariance,Kruskal-Wallis,1.0914730695431221e-46
original_firstorder_90Percentile,Kruskal-Wallis,1.1046570090294863e-46
log-sigma-2-mm-3D_glcm_Imc2,Kruskal-Wallis,1.9631490540247326e-46
original_glszm_ZoneEntropy,Kruskal-Wallis,3.694908735227638e-46
original_firstorder_RobustMeanAbsoluteDeviation,Kruskal-Wallis,3.912902775784841e-46
