,AUC,Pos.vs.Neg.,Cutoff-Threshold,Sensitivity,Specificity,Test,p-value
original_glcm_Imc2,0.9303457228642195,<,0.6518560248622334,0.8606356968215159,0.8631921824104234,mann-whitney U-test,1.2483971831640312e-86
original_glcm_Correlation,0.9297723055358664,<,0.5542993292544796,0.863080684596577,0.8631921824104234,mann-whitney U-test,2.0988978409535673e-86
squareroot_glcm_Imc2,0.9253442495002508,<,0.6804810196023916,0.863080684596577,0.8631921824104234,mann-whitney U-test,1.133291589562209e-84
squareroot_glcm_Correlation,0.9235762127378288,<,0.5360692117773962,0.8508557457212714,0.8501628664495113,mann-whitney U-test,5.5087030474406645e-84
original_glcm_MCC,0.9233133964623337,<,0.594072618009968,0.843520782396088,0.8371335504885994,mann-whitney U-test,6.964414415492071e-84
logarithm_glcm_Imc2,0.9224054856924413,<,0.696689672639955,0.8484107579462102,0.8469055374592833,mann-whitney U-test,1.563850792949421e-83
logarithm_glcm_Correlation,0.9190446230179272,<,0.4799188006971974,0.8557457212713936,0.8501628664495113,mann-whitney U-test,3.0770296533873267e-82
logarithm_glcm_Imc1,0.9188455197789158,>,-0.136686624696991,0.8631921824104235,0.8679706601466992,mann-whitney U-test,3.6682936295324834e-82
original_glcm_Imc1,0.9161855005057221,>,-0.143267240378483,0.8469055374592834,0.8484107579462102,mann-whitney U-test,3.8089376272497866e-81
squareroot_glcm_Imc1,0.9145767463345094,>,-0.1303769417494886,0.8566775244299675,0.8581907090464548,mann-whitney U-test,1.5572239548536342e-80
squareroot_glcm_MCC,0.9126653552399991,<,0.6076783323533901,0.8410757946210269,0.8403908794788274,mann-whitney U-test,8.239101263937836e-80
logarithm_glcm_MCC,0.9087071828484505,<,0.609277570357865,0.8361858190709046,0.8338762214983714,mann-whitney U-test,2.5328809922631977e-78
original_glcm_ClusterTendency,0.9030526508605242,<,6.81689202039435,0.8361858190709046,0.8371335504885994,mann-whitney U-test,3.1931268653663335e-76
wavelet2-LL_glcm_Correlation,0.9018739596855763,<,0.6423926122579304,0.8361858190709046,0.8371335504885994,mann-whitney U-test,8.678069528640413e-76
wavelet2-LL_glcm_Imc2,0.9017544977421692,<,0.8084270548248377,0.8386308068459658,0.8338762214983714,mann-whitney U-test,9.601962904023304e-76
original_glrlm_RunEntropy,0.8986007024362272,<,3.829088373527006,0.823960880195599,0.8241042345276873,mann-whitney U-test,1.3727678218052918e-74
original_glcm_SumSquares,0.8956858310170992,<,2.22939493950417,0.8361858190709046,0.8338762214983714,mann-whitney U-test,1.574953598631536e-73
original_glcm_SumEntropy,0.8948814539314925,<,3.2311674703442645,0.8312958435207825,0.8306188925081434,mann-whitney U-test,3.078430945459108e-73
exponential_firstorder_RobustMeanAbsoluteDeviation,0.8921975422696176,<,0.0757365067401821,0.8264058679706602,0.8241042345276873,mann-whitney U-test,2.8525686191778364e-72
squareroot_glszm_ZoneEntropy,0.891217954333681,<,5.663239014928358,0.8166259168704156,0.8175895765472313,mann-whitney U-test,6.404865552240344e-72
exponential_firstorder_MeanAbsoluteDeviation,0.8911144206493951,<,0.1262127976045484,0.8215158924205379,0.8208469055374593,mann-whitney U-test,6.975663343922315e-72
log-sigma-2-mm-3D_firstorder_10Percentile,0.8904295055071956,>,1.787845802307129,0.8208469055374593,0.8215158924205379,mann-whitney U-test,1.2263332357184405e-71
original_glcm_ClusterShade,0.8897206979763146,<,16.89171388635924,0.8337408312958435,0.8403908794788274,mann-whitney U-test,2.196490759948054e-71
original_firstorder_RobustMeanAbsoluteDeviation,0.8896888414580728,<,9.977713674577895,0.8166259168704156,0.8110749185667753,mann-whitney U-test,2.254731675635113e-71
original_firstorder_MeanAbsoluteDeviation,0.8892985991096103,<,14.547022297788114,0.8215158924205379,0.8208469055374593,mann-whitney U-test,3.1063266813440396e-71
squareroot_glcm_ClusterTendency,0.8885021861535642,<,28.40285072839491,0.8166259168704156,0.8143322475570033,mann-whitney U-test,5.96762330576246e-71
squareroot_glrlm_RunEntropy,0.8882632622667507,<,4.169727233517846,0.8312958435207825,0.8306188925081434,mann-whitney U-test,7.256967064720828e-71
squareroot_firstorder_Kurtosis,0.8869969656666374,>,11.107818360433928,0.8078175895765473,0.8068459657701712,mann-whitney U-test,2.0424100649076113e-70
squareroot_firstorder_90Percentile,0.8865987591886145,<,-80.59771156832794,0.8068459657701712,0.8078175895765473,mann-whitney U-test,2.8259100681147617e-70
original_glcm_ClusterProminence,0.8858023462325685,<,196.5859619550272,0.823960880195599,0.8241042345276873,mann-whitney U-test,5.404510034694474e-70
logarithm_glszm_ZoneEntropy,0.8856828842891615,<,5.75738066141191,0.8117359413202934,0.8143322475570033,mann-whitney U-test,5.955884329955567e-70
wavelet2-LL_glcm_SumEntropy,0.8854359962727872,<,5.337976089363445,0.80440097799511,0.8045602605863192,mann-whitney U-test,7.279434230406614e-70
original_gldm_DependenceEntropy,0.8854041397545455,<,5.053747133790834,0.8092909535452323,0.8045602605863192,mann-whitney U-test,7.470315178990017e-70
logarithm_firstorder_Kurtosis,0.8838989192676188,>,22.768322724955155,0.8143322475570033,0.8141809290953546,mann-whitney U-test,2.5318492615076944e-69
original_firstorder_Variance,0.8833255019392655,<,341.8865277077443,0.8166259168704156,0.8110749185667753,mann-whitney U-test,4.0256693477299246e-69
wavelet2-LL_glcm_ClusterTendency,0.8829989726272867,<,118.29148624510928,0.8068459657701712,0.8078175895765473,mann-whitney U-test,5.240716740126929e-69
original_gldm_GrayLevelVariance,0.882951187849924,<,2.253612167657764,0.8166259168704156,0.8143322475570033,mann-whitney U-test,5.446861641640178e-69
original_firstorder_InterquartileRange,0.8823857346511313,<,23.66471257184198,0.8068459657701712,0.8078175895765473,mann-whitney U-test,8.595356332692484e-69
exponential_firstorder_InterquartileRange,0.8822822009668454,<,0.1727478696225269,0.8166259168704156,0.8143322475570033,mann-whitney U-test,9.343453377114275e-69
squareroot_glcm_SumSquares,0.8820512412095919,<,9.688911832861091,0.80440097799511,0.8078175895765473,mann-whitney U-test,1.125442339734463e-68
squareroot_ngtdm_Contrast,0.8811592586988205,<,0.0392612003582449,0.8117359413202934,0.8175895765472313,mann-whitney U-test,2.3066618316453327e-68
original_firstorder_90Percentile,0.880577877240907,<,-18.68427241079586,0.8068459657701712,0.8078175895765473,mann-whitney U-test,3.6790041536642172e-68
logarithm_firstorder_Skewness,0.8793991860659589,>,3.986399440391762,0.8175895765472313,0.8190709046454767,mann-whitney U-test,9.458756205956018e-68
squareroot_glcm_ClusterShade,0.8791124774017824,<,380.6635179156885,0.8019559902200489,0.8045602605863192,mann-whitney U-test,1.1895916204113652e-67
log-sigma-0-6-mm-3D_firstorder_10Percentile,0.8788018763489245,>,-4.984904861450195,0.8013029315960912,0.8019559902200489,mann-whitney U-test,1.524664764945923e-67
original_glcm_JointEntropy,0.878602773109913,<,4.563954219985537,0.80440097799511,0.8045602605863192,mann-whitney U-test,1.787375018367034e-67
logarithm_glrlm_RunEntropy,0.8782842079274946,<,4.29434081975609,0.8190709046454768,0.8175895765472313,mann-whitney U-test,2.3046595880141114e-67
logarithm_glcm_ClusterTendency,0.8782842079274946,<,75.17066060014257,0.80440097799511,0.8045602605863192,mann-whitney U-test,2.3046595880141114e-67
