Classifier,Fold,Repeat,train_auc,train_f1_macro,val_auc,val_mcc,val_kappa,val_f1_macro,val_accuracy,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,1.0,1.0,0.8580748608641671,0.4459082781849608,0.4372906587272051,0.41181981981981985,0.7083333333333334,0.38189028026237326,"[0.0, 0.6, 0.5384615384615384, 0.7777777777777778, 1.0]","[0.0, 0.23076923076923078, 0.5833333333333334, 0.8953488372093024, 0.2]","[0.0, 0.3333333333333333, 0.56, 0.8324324324324325, 0.3333333333333333]","[0.0, 0.23076923076923078, 0.5833333333333334, 0.8953488372093024, 0.2]"
Gradient Boosting,2,1,1.0,1.0,0.7992833264595516,0.3825645189561843,0.37808169875832276,0.3543555126968821,0.6666666666666666,0.3495261409337297,"[0.0, 0.1, 0.5333333333333333, 0.7835051546391752, 0.42857142857142855]","[0.0, 0.14285714285714285, 0.42105263157894735, 0.8837209302325582, 0.3]","[0.0, 0.11764705882352941, 0.47058823529411764, 0.8306010928961749, 0.35294117647058826]","[0.0, 0.14285714285714285, 0.42105263157894735, 0.8837209302325582, 0.3]"
Gradient Boosting,3,1,1.0,1.0,0.7774754183807004,0.38487188707138403,0.379107781372382,0.38569419328913,0.6433566433566433,0.3730952380952381,"[0.0, 0.16666666666666666, 0.5384615384615384, 0.7252747252747253, 0.6666666666666666]","[0.0, 0.08333333333333333, 0.525, 0.8571428571428571, 0.4]","[0.0, 0.1111111111111111, 0.5316455696202531, 0.7857142857142857, 0.5]","[0.0, 0.08333333333333333, 0.525, 0.8571428571428571, 0.4]"
Gradient Boosting,4,1,1.0,1.0,0.8691926257523914,0.4144212080738666,0.4089891510246255,0.3941199953035106,0.6643356643356644,0.3979242979242979,"[0.0, 0.5, 0.5102040816326531, 0.7831325301204819, 0.5]","[0.0, 0.07692307692307693, 0.6944444444444444, 0.7738095238095238, 0.4444444444444444]","[0.0, 0.13333333333333333, 0.5882352941176471, 0.7784431137724551, 0.47058823529411764]","[0.0, 0.07692307692307693, 0.6944444444444444, 0.7738095238095238, 0.4444444444444444]"
Gradient Boosting,5,1,1.0,1.0,0.8211845406164471,0.4743675998545602,0.450158608093819,0.38463166463166465,0.7202797202797203,0.3786947791164658,"[0.0, 0.3333333333333333, 0.7, 0.7452830188679245, 1.0]","[0.0, 0.3333333333333333, 0.525, 0.9518072289156626, 0.08333333333333333]","[0.0, 0.3333333333333333, 0.6, 0.8359788359788359, 0.15384615384615385]","[0.0, 0.3333333333333333, 0.525, 0.9518072289156626, 0.08333333333333333]"
Gradient Boosting,6,2,1.0,1.0,0.8410773244930201,0.3905332881793562,0.385732437829007,0.31168724993496766,0.6736111111111112,0.30238095238095236,"[0.0, 0.0, 0.6388888888888888, 0.7684210526315789, 0.25]","[0.0, 0.0, 0.5, 0.8690476190476191, 0.14285714285714285]","[0.0, 0.0, 0.5609756097560976, 0.8156424581005587, 0.18181818181818182]","[0.0, 0.0, 0.5, 0.8690476190476191, 0.14285714285714285]"
Gradient Boosting,7,2,1.0,1.0,0.8147248119533458,0.33095547255975566,0.32591414944356123,0.3116753197756771,0.6319444444444444,0.3083816346466949,"[0.0, 0.1111111111111111, 0.5, 0.7395833333333334, 0.5]","[0.0, 0.1, 0.4864864864864865, 0.8554216867469879, 0.1]","[0.0, 0.10526315789473684, 0.4931506849315068, 0.7932960893854749, 0.16666666666666666]","[0.0, 0.1, 0.4864864864864865, 0.8554216867469879, 0.1]"
Gradient Boosting,8,2,1.0,1.0,0.8633012415532445,0.48640487156742335,0.48470849117619885,0.42398319836524634,0.7272727272727273,0.42713572320313886,"[0.0, 0.3333333333333333, 0.6216216216216216, 0.8260869565217391, 1.0]","[0.0, 0.5, 0.6388888888888888, 0.8539325842696629, 0.14285714285714285]","[0.0, 0.4, 0.6301369863013698, 0.8397790055248618, 0.25]","[0.0, 0.5, 0.6388888888888888, 0.8539325842696629, 0.14285714285714285]"
Gradient Boosting,9,2,1.0,0.9990719083532935,0.8314137550292982,0.47529356782639637,0.47045753785385114,0.44202020202020204,0.6853146853146853,0.43383995037220846,"[0.0, 0.42857142857142855, 0.4878048780487805, 0.8117647058823529, 0.6666666666666666]","[0.0, 0.2, 0.6451612903225806, 0.8625, 0.46153846153846156]","[0.0, 0.2727272727272727, 0.5555555555555556, 0.8363636363636363, 0.5454545454545454]","[0.0, 0.2, 0.6451612903225806, 0.8625, 0.46153846153846156]"
Gradient Boosting,10,2,1.0,1.0,0.7537269079199935,0.3490846545610189,0.33736143921497375,0.36205062205062205,0.6433566433566433,0.3458333333333333,"[0.0, 0.3333333333333333, 0.5, 0.71, 0.6]","[0.0, 0.08333333333333333, 0.425, 0.8875, 0.3333333333333333]","[0.0, 0.13333333333333333, 0.4594594594594595, 0.7888888888888889, 0.42857142857142855]","[0.0, 0.08333333333333333, 0.425, 0.8875, 0.3333333333333333]"
Gradient Boosting,11,3,1.0,1.0,0.8427640803787909,0.47024399650149656,0.46413619871615974,0.3212490241998439,0.7222222222222222,0.32459165154264974,"[0.0, 0.5, 0.5714285714285714, 0.8229166666666666, 0.0]","[0.0, 0.08333333333333333, 0.631578947368421, 0.9080459770114943, 0.0]","[0.0, 0.14285714285714285, 0.6, 0.8633879781420765, 0.0]","[0.0, 0.08333333333333333, 0.631578947368421, 0.9080459770114943, 0.0]"
Gradient Boosting,12,3,1.0,1.0,0.8066503297407683,0.5256822634268508,0.522067015168395,0.4598222290529983,0.7272727272727273,0.451374296435272,"[0.0, 0.3, 0.6944444444444444, 0.797752808988764, 0.625]","[0.0, 0.375, 0.6097560975609756, 0.8875, 0.38461538461538464]","[0.0, 0.3333333333333333, 0.6493506493506493, 0.8402366863905325, 0.47619047619047616]","[0.0, 0.375, 0.6097560975609756, 0.8875, 0.38461538461538464]"
Gradient Boosting,13,3,1.0,1.0,0.7406797214495223,0.3824678551684048,0.3653646733494642,0.3611064425770308,0.6458333333333334,0.34538847117794486,"[0.0, 0.6666666666666666, 0.5714285714285714, 0.69, 0.4]","[0.0, 0.14285714285714285, 0.47619047619047616, 0.9078947368421053, 0.2]","[0.0, 0.23529411764705882, 0.5194805194805194, 0.7840909090909091, 0.26666666666666666]","[0.0, 0.14285714285714285, 0.47619047619047616, 0.9078947368421053, 0.2]"
Gradient Boosting,14,3,1.0,1.0,0.8588929827407696,0.3763818002925474,0.3720885834287896,0.33225806451612905,0.6783216783216783,0.3117521367521368,"[0.0, 0.0, 0.5454545454545454, 0.7857142857142857, 0.6666666666666666]","[0.0, 0.0, 0.46153846153846156, 0.875, 0.2222222222222222]","[0.0, 0.0, 0.5, 0.8279569892473119, 0.3333333333333333]","[0.0, 0.0, 0.46153846153846156, 0.875, 0.2222222222222222]"
Gradient Boosting,15,3,1.0,1.0,0.8350381610262405,0.3170008207328003,0.3116726835138388,0.33801169590643276,0.6083916083916084,0.34,"[0.0, 0.0, 0.32608695652173914, 0.7906976744186046, 0.6666666666666666]","[0.0, 0.0, 0.5, 0.8, 0.4]","[0.0, 0.0, 0.39473684210526316, 0.7953216374269005, 0.5]","[0.0, 0.0, 0.5, 0.8, 0.4]"
Gradient Boosting,16,4,1.0,1.0,0.8464936375679661,0.46546602051935865,0.46387603139464695,0.42417788783985966,0.7430555555555556,0.3800584795321637,"[1.0, 0.0, 0.5714285714285714, 0.85, 0.5]","[0.25, 0.0, 0.5555555555555556, 0.8947368421052632, 0.2]","[0.4, 0.0, 0.5633802816901409, 0.8717948717948718, 0.2857142857142857]","[0.25, 0.0, 0.5555555555555556, 0.8947368421052632, 0.2]"
Gradient Boosting,17,4,1.0,1.0,0.8157932149192767,0.4721526961937102,0.4642671742516006,0.39434270818153855,0.7013888888888888,0.3834615384615384,"[0.0, 0.25, 0.6428571428571429, 0.7526881720430108, 0.6]","[0.0, 0.1, 0.6923076923076923, 0.875, 0.25]","[0.0, 0.14285714285714285, 0.6666666666666666, 0.8092485549132948, 0.35294117647058826]","[0.0, 0.1, 0.6923076923076923, 0.875, 0.25]"
Gradient Boosting,18,4,1.0,1.0,0.7354359453599916,0.3265313017628867,0.30753546852433944,0.3552199362503622,0.6013986013986014,0.33595012293642434,"[0.0, 0.4444444444444444, 0.4827586206896552, 0.6534653465346535, 1.0]","[0.0, 0.25, 0.358974358974359, 0.9041095890410958, 0.16666666666666666]","[0.0, 0.32, 0.4117647058823529, 0.7586206896551724, 0.2857142857142857]","[0.0, 0.25, 0.358974358974359, 0.9041095890410958, 0.16666666666666666]"
Gradient Boosting,19,4,1.0,1.0,0.8649691540418931,0.39304183908696994,0.391764705882353,0.39118724412842065,0.6713286713286714,0.397175697865353,"[0.0, 0.2222222222222222, 0.48484848484848486, 0.8064516129032258, 0.42857142857142855]","[0.0, 0.16666666666666666, 0.45714285714285713, 0.8620689655172413, 0.5]","[0.0, 0.19047619047619047, 0.47058823529411764, 0.8333333333333334, 0.46153846153846156]","[0.0, 0.16666666666666666, 0.45714285714285713, 0.8620689655172413, 0.5]"
Gradient Boosting,20,4,1.0,1.0,0.8727332530575509,0.43899824134176463,0.4362186788154897,0.3823181343543335,0.6853146853146853,0.3690892666502422,"[0.0, 0.25, 0.5681818181818182, 0.7840909090909091, 0.5]","[0.0, 0.1111111111111111, 0.6097560975609756, 0.8518518518518519, 0.2727272727272727]","[0.0, 0.15384615384615385, 0.5882352941176471, 0.8165680473372781, 0.35294117647058826]","[0.0, 0.1111111111111111, 0.6097560975609756, 0.8518518518518519, 0.2727272727272727]"
Gradient Boosting,21,5,1.0,1.0,0.7384101675192887,0.399026133395686,0.3932954753617879,0.3839314807056743,0.6805555555555556,0.3642814082469255,"[0.0, 0.16666666666666666, 0.5151515151515151, 0.7676767676767676, 0.8]","[0.0, 0.125, 0.5151515151515151, 0.8735632183908046, 0.3076923076923077]","[0.0, 0.14285714285714285, 0.5151515151515151, 0.8172043010752689, 0.4444444444444444]","[0.0, 0.125, 0.5151515151515151, 0.8735632183908046, 0.3076923076923077]"
Gradient Boosting,22,5,1.0,1.0,0.8309363244862586,0.4959439296515288,0.4909706546275394,0.45259783980821977,0.7132867132867133,0.4616596343178621,"[0.0, 0.4444444444444444, 0.6842105263157895, 0.7777777777777778, 0.3333333333333333]","[0.0, 0.4444444444444444, 0.5777777777777777, 0.8860759493670886, 0.4]","[0.0, 0.4444444444444444, 0.6265060240963856, 0.8284023668639053, 0.36363636363636365]","[0.0, 0.4444444444444444, 0.5777777777777777, 0.8860759493670886, 0.4]"
Gradient Boosting,23,5,1.0,1.0,0.8694723165991899,0.517118016496331,0.5138877373352126,0.4796054073803434,0.7132867132867133,0.46004784688995215,"[0.0, 0.3333333333333333, 0.675, 0.7764705882352941, 0.7777777777777778]","[0.0, 0.18181818181818182, 0.6136363636363636, 0.868421052631579, 0.6363636363636364]","[0.0, 0.23529411764705882, 0.6428571428571429, 0.8198757763975155, 0.7]","[0.0, 0.18181818181818182, 0.6136363636363636, 0.868421052631579, 0.6363636363636364]"
Gradient Boosting,24,5,1.0,1.0,0.8584172746465425,0.4096225828395904,0.40682620635543354,0.37657758063437574,0.7083333333333334,0.365563231095146,"[0.0, 0.3333333333333333, 0.5, 0.8235294117647058, 0.3333333333333333]","[0.0, 0.18181818181818182, 0.4666666666666667, 0.8936170212765957, 0.2857142857142857]","[0.0, 0.23529411764705882, 0.4827586206896552, 0.8571428571428571, 0.3076923076923077]","[0.0, 0.18181818181818182, 0.4666666666666667, 0.8936170212765957, 0.2857142857142857]"
Gradient Boosting,25,5,1.0,1.0,0.838056241111685,0.41187517198108975,0.4072538860103626,0.39959753326841935,0.6643356643356644,0.37578947368421056,"[0.0, 0.5, 0.5365853658536586, 0.7555555555555555, 0.6666666666666666]","[0.0, 0.25, 0.5789473684210527, 0.85, 0.2]","[0.0, 0.3333333333333333, 0.5569620253164557, 0.8, 0.3076923076923077]","[0.0, 0.25, 0.5789473684210527, 0.85, 0.2]"
Gradient Boosting,26,6,1.0,1.0,0.79006740640385,0.3262513036685531,0.31582584657912915,0.3296952574133101,0.6180555555555556,0.32209351623985766,"[0.0, 0.5, 0.48717948717948717, 0.6907216494845361, 0.25]","[0.0, 0.2, 0.4634146341463415, 0.8701298701298701, 0.07692307692307693]","[0.0, 0.2857142857142857, 0.475, 0.7701149425287356, 0.11764705882352941]","[0.0, 0.2, 0.4634146341463415, 0.8701298701298701, 0.07692307692307693]"
