Classifier,Fold,Repeat,train_auc,train_f1_macro,val_auc,val_mcc,val_kappa,val_f1_macro,val_accuracy,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,1.0,0.9987031064922489,0.7862249054072576,0.4477813673986349,0.43842620035566093,0.3785861854075935,0.6293706293706294,0.3951164874551971,"[0.0, 0.5263157894736842, 0.6233766233766234, 0.7441860465116279, 0.0]","[0.0, 0.3125, 0.7741935483870968, 0.8888888888888888, 0.0]","[0.0, 0.39215686274509803, 0.6906474820143885, 0.810126582278481, 0.0]","[0.0, 0.3125, 0.7741935483870968, 0.8888888888888888, 0.0]"
Gradient Boosting,2,1,1.0,0.9987372793354101,0.757047370460793,0.4843652285230729,0.483830570902394,0.39266938795169115,0.6573426573426573,0.4001272782812341,"[0.0, 0.4482758620689655, 0.6666666666666666, 0.8125, 0.0]","[0.0, 0.4642857142857143, 0.6885245901639344, 0.8478260869565217, 0.0]","[0.0, 0.45614035087719296, 0.6774193548387096, 0.8297872340425532, 0.0]","[0.0, 0.4642857142857143, 0.6885245901639344, 0.8478260869565217, 0.0]"
Gradient Boosting,3,1,0.9999960089399744,0.9973616103522644,0.8945824801875402,0.5294414845362077,0.5209915140687806,0.5392843033289668,0.6853146853146853,0.5321289622568395,"[0.0, 0.7777777777777778, 0.7246376811594203, 0.6458333333333334, 0.75]","[0.0, 0.42424242424242425, 0.7246376811594203, 0.9117647058823529, 0.6]","[0.0, 0.5490196078431373, 0.7246376811594203, 0.7560975609756098, 0.6666666666666666]","[0.0, 0.42424242424242425, 0.7246376811594203, 0.9117647058823529, 0.6]"
Gradient Boosting,4,1,1.0,0.9974230043997487,0.7660960530487589,0.49188749439963486,0.49133931333127123,0.4589628458410001,0.6783216783216783,0.46677913822925454,"[0.0, 0.5357142857142857, 0.7066666666666667, 0.7777777777777778, 0.25]","[0.0, 0.5172413793103449, 0.7464788732394366, 0.7368421052631579, 0.3333333333333333]","[0.0, 0.5263157894736842, 0.726027397260274, 0.7567567567567568, 0.2857142857142857]","[0.0, 0.5172413793103449, 0.7464788732394366, 0.7368421052631579, 0.3333333333333333]"
Gradient Boosting,5,1,1.0,0.9975895316804408,0.842034315957133,0.40558318570468027,0.40458015267175573,0.4391613278974956,0.6223776223776224,0.4199047392236247,"[0.0, 0.2, 0.6197183098591549, 0.78, 0.75]","[0.0, 0.15789473684210525, 0.676923076923077, 0.7647058823529411, 0.5]","[0.0, 0.17647058823529413, 0.6470588235294118, 0.7722772277227723, 0.6]","[0.0, 0.15789473684210525, 0.676923076923077, 0.7647058823529411, 0.5]"
Gradient Boosting,6,2,1.0,1.0,0.8772487940437232,0.5672684405585097,0.5648535564853556,0.5199092970521543,0.7202797202797203,0.5268264035705896,"[0.0, 0.6818181818181818, 0.7027027027027027, 0.8095238095238095, 0.4]","[0.0, 0.5555555555555556, 0.7878787878787878, 0.7906976744186046, 0.5]","[0.0, 0.6122448979591837, 0.7428571428571429, 0.8, 0.4444444444444444]","[0.0, 0.5555555555555556, 0.7878787878787878, 0.7906976744186046, 0.5]"
Gradient Boosting,7,2,1.0,1.0,0.8189502859198733,0.439190593477904,0.43646367759684734,0.43016877637130796,0.6293706293706294,0.4263978127136022,"[0.0, 0.5555555555555556, 0.625, 0.7073170731707317, 0.3333333333333333]","[0.0, 0.45454545454545453, 0.7142857142857143, 0.7631578947368421, 0.2]","[0.0, 0.5, 0.6666666666666666, 0.7341772151898734, 0.25]","[0.0, 0.45454545454545453, 0.7142857142857143, 0.7631578947368421, 0.2]"
Gradient Boosting,8,2,1.0,1.0,0.8081834887526795,0.42421125075182986,0.4217336960517609,0.41313368398905953,0.6153846153846154,0.4012987012987013,"[0.0, 0.47619047619047616, 0.6290322580645161, 0.7169811320754716, 0.5]","[0.0, 0.35714285714285715, 0.6190476190476191, 0.8636363636363636, 0.16666666666666666]","[0.0, 0.40816326530612246, 0.624, 0.7835051546391752, 0.25]","[0.0, 0.35714285714285715, 0.6190476190476191, 0.8636363636363636, 0.16666666666666666]"
Gradient Boosting,9,2,1.0,0.9987379903503252,0.7566779673085763,0.3686250660842725,0.36400582777394364,0.4187764097887217,0.5944055944055944,0.39246530344091324,"[0.0, 0.4375, 0.5897435897435898, 0.7045454545454546, 1.0]","[0.0, 0.25925925925925924, 0.696969696969697, 0.7560975609756098, 0.25]","[0.0, 0.32558139534883723, 0.6388888888888888, 0.7294117647058823, 0.4]","[0.0, 0.25925925925925924, 0.696969696969697, 0.7560975609756098, 0.25]"
Gradient Boosting,10,2,1.0,1.0,0.8067963918713172,0.520308810770705,0.5176696052127252,0.46120937885643765,0.6923076923076923,0.461978021978022,"[0.0, 0.4444444444444444, 0.7397260273972602, 0.7608695652173914, 0.4]","[0.0, 0.3076923076923077, 0.7714285714285715, 0.8974358974358975, 0.3333333333333333]","[0.0, 0.36363636363636365, 0.7552447552447552, 0.8235294117647058, 0.36363636363636365]","[0.0, 0.3076923076923077, 0.7714285714285715, 0.8974358974358975, 0.3333333333333333]"
Gradient Boosting,11,3,1.0,0.9987702526078701,0.7109666127575722,0.41090821910098124,0.40817982634098837,0.40151156860017617,0.6433566433566433,0.3967438867438867,"[0.0, 0.2222222222222222, 0.6547619047619048, 0.8421052631578947, 0.3333333333333333]","[0.0, 0.19047619047619047, 0.7432432432432432, 0.8, 0.25]","[0.0, 0.20512820512820512, 0.6962025316455697, 0.8205128205128205, 0.2857142857142857]","[0.0, 0.19047619047619047, 0.7432432432432432, 0.8, 0.25]"
Gradient Boosting,12,3,0.9999975389764604,0.9987236323720866,0.7800505626810779,0.5507926320961468,0.5488958990536277,0.509155259588112,0.7062937062937062,0.5031480882448082,"[0.0, 0.625, 0.704225352112676, 0.7727272727272727, 0.5]","[0.0, 0.5172413793103449, 0.7692307692307693, 0.8292682926829268, 0.4]","[0.0, 0.5660377358490566, 0.7352941176470589, 0.8, 0.4444444444444444]","[0.0, 0.5172413793103449, 0.7692307692307693, 0.8292682926829268, 0.4]"
Gradient Boosting,13,3,0.9999961180124224,0.998737508300473,0.8108767849199952,0.4845124225051274,0.48015431411825804,0.44277248677248676,0.6573426573426573,0.4250205913086237,"[0.0, 0.52, 0.6029411764705882, 0.7959183673469388, 1.0]","[0.0, 0.4482758620689655, 0.7454545454545455, 0.7647058823529411, 0.16666666666666666]","[0.0, 0.48148148148148145, 0.6666666666666666, 0.78, 0.2857142857142857]","[0.0, 0.4482758620689655, 0.7454545454545455, 0.7647058823529411, 0.16666666666666666]"
Gradient Boosting,14,3,1.0,0.998678300925721,0.7802518031795558,0.4465715774682277,0.4380321665089877,0.43655149051490516,0.6223776223776224,0.4481069476971117,"[0.0, 0.631578947368421, 0.6290322580645161, 0.6607142857142857, 0.3333333333333333]","[0.0, 0.34285714285714286, 0.639344262295082, 0.925, 0.3333333333333333]","[0.0, 0.4444444444444444, 0.6341463414634146, 0.7708333333333334, 0.3333333333333333]","[0.0, 0.34285714285714286, 0.639344262295082, 0.925, 0.3333333333333333]"
Gradient Boosting,15,3,1.0,1.0,0.7770288069969287,0.48968416583321966,0.48722545943523077,0.48128138528138525,0.6643356643356644,0.47493723932080095,"[0.0, 0.5357142857142857, 0.746268656716418, 0.6666666666666666, 0.6666666666666666]","[0.0, 0.5555555555555556, 0.684931506849315, 0.8484848484848485, 0.2857142857142857]","[0.0, 0.5454545454545454, 0.7142857142857143, 0.7466666666666667, 0.4]","[0.0, 0.5555555555555556, 0.684931506849315, 0.8484848484848485, 0.2857142857142857]"
Gradient Boosting,16,4,1.0,0.9987412810998645,0.8189545499635091,0.401625192474454,0.3992482311320754,0.4318089340999558,0.6013986013986014,0.4172331194070324,"[1.0, 0.36, 0.703125, 0.6458333333333334, 0.0]","[0.25, 0.34615384615384615, 0.6521739130434783, 0.8378378378378378, 0.0]","[0.4, 0.35294117647058826, 0.6766917293233082, 0.7294117647058823, 0.0]","[0.25, 0.34615384615384615, 0.6521739130434783, 0.8378378378378378, 0.0]"
Gradient Boosting,17,4,1.0,0.998756274446567,0.7102986811812674,0.4129577233900262,0.41207043673881005,0.41103103846767286,0.6293706293706294,0.4167874396135266,"[0.0, 0.3684210526315789, 0.6351351351351351, 0.7954545454545454, 0.25]","[0.0, 0.2916666666666667, 0.6811594202898551, 0.7777777777777778, 0.3333333333333333]","[0.0, 0.32558139534883723, 0.6573426573426573, 0.7865168539325843, 0.2857142857142857]","[0.0, 0.2916666666666667, 0.6811594202898551, 0.7777777777777778, 0.3333333333333333]"
Gradient Boosting,18,4,1.0,1.0,0.8836682095134133,0.5116068015820293,0.49520374491596963,0.3882185477597365,0.6783216783216783,0.3911693112152903,"[0.0, 0.7692307692307693, 0.6153846153846154, 0.7647058823529411, 0.0]","[0.0, 0.3125, 0.8135593220338984, 0.8297872340425532, 0.0]","[0.0, 0.4444444444444444, 0.7007299270072993, 0.7959183673469388, 0.0]","[0.0, 0.3125, 0.8135593220338984, 0.8297872340425532, 0.0]"
