,Test,p-value
squareroot_firstorder_RootMeanSquared,Kruskal-Wallis,0.0
squareroot_firstorder_MeanAbsoluteDeviation,Kruskal-Wallis,0.0
squareroot_glcm_MCC,Kruskal-Wallis,0.0
squareroot_firstorder_Mean,Kruskal-Wallis,0.0
squareroot_firstorder_RobustMeanAbsoluteDeviation,Kruskal-Wallis,0.0
log-sigma-2-mm-3D_glcm_Correlation,Kruskal-Wallis,0.0
log-sigma-2-mm-3D_glcm_Imc2,Kruskal-Wallis,0.0
original_firstorder_InterquartileRange,Kruskal-Wallis,0.0
original_firstorder_Kurtosis,Kruskal-Wallis,0.0
wavelet2-LL_glcm_ClusterShade,Kruskal-Wallis,0.0
wavelet2-LL_glcm_ClusterProminence,Kruskal-Wallis,0.0
original_glcm_SumSquares,Kruskal-Wallis,0.0
original_glcm_SumEntropy,Kruskal-Wallis,0.0
wavelet2-LL_glcm_JointEntropy,Kruskal-Wallis,0.0
wavelet2-LL_glcm_JointAverage,Kruskal-Wallis,0.0
original_firstorder_MeanAbsoluteDeviation,Kruskal-Wallis,0.0
original_firstorder_Mean,Kruskal-Wallis,0.0
original_firstorder_Uniformity,Kruskal-Wallis,0.0
original_firstorder_Entropy,Kruskal-Wallis,0.0
wavelet2-LL_glcm_Correlation,Kruskal-Wallis,0.0
original_glcm_Autocorrelation,Kruskal-Wallis,0.0
original_glcm_ClusterProminence,Kruskal-Wallis,0.0
original_glcm_ClusterShade,Kruskal-Wallis,0.0
exponential_firstorder_MeanAbsoluteDeviation,Kruskal-Wallis,0.0
exponential_firstorder_Mean,Kruskal-Wallis,0.0
logarithm_firstorder_MeanAbsoluteDeviation,Kruskal-Wallis,0.0
log-sigma-3-mm-3D_glcm_Correlation,Kruskal-Wallis,0.0
log-sigma-3-mm-3D_glcm_Imc2,Kruskal-Wallis,0.0
log-sigma-3-mm-3D_glcm_Imc1,Kruskal-Wallis,0.0
logarithm_firstorder_RobustMeanAbsoluteDeviation,Kruskal-Wallis,0.0
logarithm_firstorder_RootMeanSquared,Kruskal-Wallis,0.0
exponential_firstorder_InterquartileRange,Kruskal-Wallis,0.0
log-sigma-3-mm-3D_glcm_MCC,Kruskal-Wallis,0.0
wavelet2-LL_glrlm_ShortRunHighGrayLevelEmphasis,Kruskal-Wallis,0.0
wavelet2-LL_glrlm_RunEntropy,Kruskal-Wallis,0.0
logarithm_firstorder_TotalEnergy,Kruskal-Wallis,0.0
logarithm_firstorder_Skewness,Kruskal-Wallis,0.0
wavelet2-LL_glszm_HighGrayLevelZoneEmphasis,Kruskal-Wallis,0.0
wavelet2-LL_firstorder_Entropy,Kruskal-Wallis,0.0
logarithm_firstorder_Entropy,Kruskal-Wallis,0.0
logarithm_firstorder_InterquartileRange,Kruskal-Wallis,0.0
logarithm_firstorder_Energy,Kruskal-Wallis,0.0
logarithm_firstorder_Kurtosis,Kruskal-Wallis,0.0
original_glrlm_HighGrayLevelRunEmphasis,Kruskal-Wallis,0.0
squareroot_gldm_DependenceEntropy,Kruskal-Wallis,0.0
wavelet-LH_firstorder_Skewness,Kruskal-Wallis,0.0
exponential_firstorder_90Percentile,Kruskal-Wallis,0.0
wavelet2-LL_firstorder_RootMeanSquared,Kruskal-Wallis,0.0
wavelet2-LL_firstorder_RobustMeanAbsoluteDeviation,Kruskal-Wallis,0.0
logarithm_glszm_GrayLevelNonUniformityNormalized,Kruskal-Wallis,0.0
squareroot_glcm_SumEntropy,Kruskal-Wallis,0.0
log-sigma-3-mm-3D_firstorder_10Percentile,Kruskal-Wallis,0.0
squareroot_glcm_SumAverage,Kruskal-Wallis,0.0
logarithm_glcm_SumAverage,Kruskal-Wallis,0.0
logarithm_glcm_SumEntropy,Kruskal-Wallis,0.0
original_glcm_Imc1,Kruskal-Wallis,0.0
original_firstorder_Variance,Kruskal-Wallis,0.0
wavelet2-LL_glcm_Autocorrelation,Kruskal-Wallis,0.0
wavelet2-LL_firstorder_Variance,Kruskal-Wallis,0.0
squareroot_gldm_LargeDependenceHighGrayLevelEmphasis,Kruskal-Wallis,0.0
wavelet2-LH_firstorder_Skewness,Kruskal-Wallis,0.0
original_firstorder_RobustMeanAbsoluteDeviation,Kruskal-Wallis,0.0
original_glcm_ClusterTendency,Kruskal-Wallis,0.0
logarithm_firstorder_Variance,Kruskal-Wallis,0.0
logarithm_glcm_ClusterTendency,Kruskal-Wallis,0.0
original_gldm_HighGrayLevelEmphasis,Kruskal-Wallis,0.0
original_gldm_GrayLevelVariance,Kruskal-Wallis,0.0
logarithm_glcm_Autocorrelation,Kruskal-Wallis,0.0
wavelet2-LH_firstorder_10Percentile,Kruskal-Wallis,0.0
logarithm_glcm_ClusterProminence,Kruskal-Wallis,0.0
logarithm_glcm_ClusterShade,Kruskal-Wallis,0.0
original_ngtdm_Contrast,Kruskal-Wallis,0.0
wavelet2-LL_firstorder_Energy,Kruskal-Wallis,0.0
logarithm_glcm_Correlation,Kruskal-Wallis,0.0
original_glcm_Correlation,Kruskal-Wallis,0.0
wavelet2-LL_firstorder_Uniformity,Kruskal-Wallis,0.0
original_gldm_DependenceEntropy,Kruskal-Wallis,0.0
original_firstorder_90Percentile,Kruskal-Wallis,0.0
original_glcm_Imc2,Kruskal-Wallis,0.0
wavelet-LH_firstorder_10Percentile,Kruskal-Wallis,0.0
log-sigma-0-6-mm-3D_firstorder_10Percentile,Kruskal-Wallis,0.0
original_gldm_LargeDependenceHighGrayLevelEmphasis,Kruskal-Wallis,0.0
wavelet2-LL_firstorder_90Percentile,Kruskal-Wallis,0.0
log-sigma-3-mm-3D_glrlm_RunEntropy,Kruskal-Wallis,2.900834894963845e-306
log-sigma-2-mm-3D_gldm_GrayLevelVariance,Kruskal-Wallis,5.053864473885584e-306
log-sigma-2-mm-3D_firstorder_Variance,Kruskal-Wallis,6.716828770343793e-306
squareroot_glszm_ZoneEntropy,Kruskal-Wallis,1.8210500340413614e-305
log-sigma-2-mm-3D_glcm_ClusterProminence,Kruskal-Wallis,1.2085602448562596e-301
logarithm_glcm_Idmn,Kruskal-Wallis,1.2869230183601203e-301
logarithm_firstorder_Mean,Kruskal-Wallis,5.112083709452905e-301
log-sigma-3-mm-3D_glcm_ClusterTendency,Kruskal-Wallis,4.68729879339638e-299
original_glrlm_LongRunHighGrayLevelEmphasis,Kruskal-Wallis,4.64014649041033e-298
logarithm_gldm_SmallDependenceHighGrayLevelEmphasis,Kruskal-Wallis,4.6706120005844006e-296
logarithm_glcm_DifferenceEntropy,Kruskal-Wallis,4.950243736660035e-296
log-sigma-3-mm-3D_glcm_SumSquares,Kruskal-Wallis,2.2748832875101186e-295
squareroot_glcm_DifferenceEntropy,Kruskal-Wallis,1.1106948309617338e-294
logarithm_glcm_DifferenceAverage,Kruskal-Wallis,2.3163359836661078e-293
log-sigma-3-mm-3D_glcm_ClusterProminence,Kruskal-Wallis,2.887004598536619e-292
squareroot_glcm_Idn,Kruskal-Wallis,9.14168972379496e-292
squareroot_gldm_SmallDependenceHighGrayLevelEmphasis,Kruskal-Wallis,4.384520911273375e-289
original_glrlm_ShortRunHighGrayLevelEmphasis,Kruskal-Wallis,1.1797621904928493e-286
squareroot_glszm_GrayLevelVariance,Kruskal-Wallis,7.375258481521662e-286
log-sigma-0-6-mm-3D_glcm_Imc2,Kruskal-Wallis,1.309093362556908e-285
logarithm_firstorder_Uniformity,Kruskal-Wallis,3.0020487927901712e-285
log-sigma-2-mm-3D_firstorder_Entropy,Kruskal-Wallis,7.620008288299265e-285
squareroot_glcm_DifferenceAverage,Kruskal-Wallis,2.031695622016983e-284
logarithm_glszm_SmallAreaHighGrayLevelEmphasis,Kruskal-Wallis,1.656991988446665e-281
logarithm_glszm_GrayLevelVariance,Kruskal-Wallis,1.0356749644136733e-279
log-sigma-2-mm-3D_glcm_SumEntropy,Kruskal-Wallis,9.63512653775674e-278
log-sigma-2-mm-3D_firstorder_MeanAbsoluteDeviation,Kruskal-Wallis,4.0725838559532925e-277
square_firstorder_10Percentile,Kruskal-Wallis,1.1801469262351279e-275
log-sigma-3-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,Kruskal-Wallis,4.6193200000689425e-274
wavelet2-LL_glcm_Imc1,Kruskal-Wallis,1.3436912357811797e-273
log-sigma-3-mm-3D_firstorder_Variance,Kruskal-Wallis,4.7512984249471016e-273
log-sigma-3-mm-3D_gldm_GrayLevelVariance,Kruskal-Wallis,6.401779728551487e-273
wavelet2-LL_glcm_JointEnergy,Kruskal-Wallis,7.517108521582487e-272
squareroot_glcm_Idm,Kruskal-Wallis,3.349518623755257e-271
log-sigma-2-mm-3D_glrlm_GrayLevelVariance,Kruskal-Wallis,2.705677501900274e-268
squareroot_glcm_Id,Kruskal-Wallis,5.317930443536928e-268
squareroot_glcm_JointEnergy,Kruskal-Wallis,4.010616244942979e-266
logarithm_glcm_Contrast,Kruskal-Wallis,1.590917840673691e-265
squareroot_glcm_Idmn,Kruskal-Wallis,8.525283393785463e-262
log-sigma-2-mm-3D_firstorder_Minimum,Kruskal-Wallis,8.81859356360532e-261
logarithm_glcm_DifferenceVariance,Kruskal-Wallis,7.388697228944804e-260
logarithm_glcm_Idm,Kruskal-Wallis,3.4998477110858994e-258
exponential_firstorder_Kurtosis,Kruskal-Wallis,4.630898810894994e-257
squareroot_glcm_Contrast,Kruskal-Wallis,6.118142369077922e-257
wavelet2-LL_glcm_InverseVariance,Kruskal-Wallis,7.451204720690764e-257
logarithm_glcm_Id,Kruskal-Wallis,2.6227682330429465e-256
squareroot_glszm_SmallAreaHighGrayLevelEmphasis,Kruskal-Wallis,1.338208289845888e-254
wavelet2-LH_glcm_Imc2,Kruskal-Wallis,2.3212133730273233e-248
log-sigma-0-6-mm-3D_glcm_Correlation,Kruskal-Wallis,1.7047016709049215e-247
logarithm_ngtdm_Busyness,Kruskal-Wallis,9.130370404779719e-247
squareroot_glcm_DifferenceVariance,Kruskal-Wallis,8.293845194946397e-246
log-sigma-3-mm-3D_glrlm_GrayLevelVariance,Kruskal-Wallis,1.7585828839440608e-245
log-sigma-3-mm-3D_firstorder_Entropy,Kruskal-Wallis,2.2277222286935534e-245
log-sigma-3-mm-3D_firstorder_MeanAbsoluteDeviation,Kruskal-Wallis,2.4269771964475515e-244
log-sigma-2-mm-3D_glszm_HighGrayLevelZoneEmphasis,Kruskal-Wallis,6.830729826368901e-242
original_glszm_ZoneEntropy,Kruskal-Wallis,3.211585289402091e-240
log-sigma-2-mm-3D_glrlm_GrayLevelNonUniformityNormalized,Kruskal-Wallis,1.3195381204284614e-239
wavelet2-LH_glrlm_RunEntropy,Kruskal-Wallis,5.116324915008254e-237
original_glcm_Idm,Kruskal-Wallis,1.793546207927265e-236
logarithm_glcm_JointEnergy,Kruskal-Wallis,2.067693620052709e-236
