Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,1,1,1.0,0.996742671009772,0.9424242424242424,0.7077806220054985,0.7076461769115443,0.7761194029850746,0.8538131261500715,0.8951048951048951,0.7878787878787878,0.9272727272727272,0.7647058823529411,0.9357798165137615,0.8575757575757575,"[0.9357798165137615, 0.7647058823529411]","[0.9272727272727272, 0.7878787878787878]","[0.9315068493150684, 0.7761194029850746]","[0.9272727272727272, 0.7878787878787878]"
Gradient Boosting,2,1,1.0,0.9966555183946488,0.9479857215706272,0.6990430419189336,0.6980499316855049,0.7792207792207793,0.8489405331510596,0.8811188811188811,0.8108108108108109,0.9056603773584906,0.75,0.9320388349514563,0.8582355940846507,"[0.9320388349514563, 0.75]","[0.9056603773584906, 0.8108108108108109]","[0.9186602870813397, 0.7792207792207793]","[0.9056603773584906, 0.8108108108108109]"
Gradient Boosting,3,1,1.0,0.9965635738831615,0.9207317073170731,0.6266491108074798,0.6216454579816051,0.72,0.8102369668246445,0.8531468531468531,0.6585365853658537,0.9313725490196079,0.7941176470588235,0.8715596330275229,0.7949545671927307,"[0.8715596330275229, 0.7941176470588235]","[0.9313725490196079, 0.6585365853658537]","[0.9004739336492891, 0.72]","[0.9313725490196079, 0.6585365853658537]"
Gradient Boosting,4,1,0.999983993597439,0.9896907216494846,0.9720873786407768,0.8230944426264972,0.8209814722083124,0.868421052631579,0.9104010025062657,0.9300699300699301,0.825,0.970873786407767,0.9166666666666666,0.9345794392523364,0.8979368932038835,"[0.9345794392523364, 0.9166666666666666]","[0.970873786407767, 0.825]","[0.9523809523809523, 0.868421052631579]","[0.970873786407767, 0.825]"
Gradient Boosting,5,1,0.9999999999999999,0.9933333333333333,0.9225077881619937,0.6765876550507826,0.6754772393538914,0.7536231884057971,0.8376410872904562,0.8811188811188811,0.7222222222222222,0.9345794392523364,0.7878787878787878,0.9090909090909091,0.8284008307372793,"[0.9090909090909091, 0.7878787878787878]","[0.9345794392523364, 0.7222222222222222]","[0.9216589861751152, 0.7536231884057971]","[0.9345794392523364, 0.7222222222222222]"
Gradient Boosting,6,2,1.0,0.989247311827957,0.9511429852084268,0.7220355443620581,0.7195754989041412,0.8045977011494253,0.8595852827355166,0.8811188811188811,0.7608695652173914,0.9381443298969072,0.8536585365853658,0.8921568627450981,0.8495069475571493,"[0.8921568627450981, 0.8536585365853658]","[0.9381443298969072, 0.7608695652173914]","[0.914572864321608, 0.8045977011494253]","[0.9381443298969072, 0.7608695652173914]"
Gradient Boosting,7,2,1.0,0.9966555183946488,0.9377868434472207,0.7290461377253861,0.7289270820169341,0.8,0.8644549763033176,0.8951048951048951,0.8108108108108109,0.9245283018867925,0.7894736842105263,0.9333333333333333,0.8676695563488017,"[0.9333333333333333, 0.7894736842105263]","[0.9245283018867925, 0.8108108108108109]","[0.9289099526066351, 0.8]","[0.9245283018867925, 0.8108108108108109]"
Gradient Boosting,8,2,1.0,0.9966101694915255,0.9317061143984221,0.6538472221874339,0.651085141903172,0.7397260273972602,0.825262074731494,0.8671328671328671,0.6923076923076923,0.9326923076923077,0.7941176470588235,0.8899082568807339,0.8125,"[0.8899082568807339, 0.7941176470588235]","[0.9326923076923077, 0.6923076923076923]","[0.9107981220657277, 0.7397260273972602]","[0.9326923076923077, 0.6923076923076923]"
Gradient Boosting,9,2,1.0,0.9935483870967742,0.9380760368663595,0.7268003050812637,0.7245459548706659,0.7878787878787878,0.8621212121212121,0.9020979020979021,0.8387096774193549,0.9196428571428571,0.7428571428571429,0.9537037037037037,0.879176267281106,"[0.9537037037037037, 0.7428571428571429]","[0.9196428571428571, 0.8387096774193549]","[0.9363636363636364, 0.7878787878787878]","[0.9196428571428571, 0.8387096774193549]"
Gradient Boosting,10,2,1.0,0.9967213114754099,0.9400971397733405,0.6913113869400972,0.6913113869400971,0.7647058823529411,0.8456556934700485,0.8881118881118881,0.7647058823529411,0.926605504587156,0.7647058823529411,0.926605504587156,0.8456556934700485,"[0.926605504587156, 0.7647058823529411]","[0.926605504587156, 0.7647058823529411]","[0.926605504587156, 0.7647058823529411]","[0.926605504587156, 0.7647058823529411]"
Gradient Boosting,11,3,0.9999378611818803,0.996742671009772,0.9509641873278237,0.7080881928749334,0.7037037037037037,0.7777777777777778,0.8515057113187954,0.8881118881118881,0.8484848484848485,0.9,0.717948717948718,0.9519230769230769,0.8742424242424243,"[0.9519230769230769, 0.717948717948718]","[0.9, 0.8484848484848485]","[0.9252336448598131, 0.7777777777777778]","[0.9, 0.8484848484848485]"
Gradient Boosting,12,3,1.0,0.9966329966329966,0.9576441102756893,0.7785614427507846,0.7735550277117973,0.8285714285714286,0.8865079365079365,0.916083916083916,0.7631578947368421,0.9714285714285714,0.90625,0.918918918918919,0.8672932330827068,"[0.918918918918919, 0.90625]","[0.9714285714285714, 0.7631578947368421]","[0.9444444444444444, 0.8285714285714286]","[0.9714285714285714, 0.7631578947368421]"
Gradient Boosting,13,3,1.0,0.9966996699669967,0.9436507936507937,0.644158644618486,0.6440455915105463,0.7323943661971831,0.8220111365869637,0.8671328671328671,0.7428571428571429,0.9074074074074074,0.7222222222222222,0.9158878504672897,0.8251322751322752,"[0.9158878504672897, 0.7222222222222222]","[0.9074074074074074, 0.7428571428571429]","[0.9116279069767442, 0.7323943661971831]","[0.9074074074074074, 0.7428571428571429]"
Gradient Boosting,14,3,1.0,0.9966555183946488,0.9515553289138196,0.6551228110337419,0.6470104223806912,0.7272727272727273,0.8227272727272728,0.8741258741258742,0.6486486486486487,0.9528301886792453,0.8275862068965517,0.8859649122807017,0.8007394186639469,"[0.8859649122807017, 0.8275862068965517]","[0.9528301886792453, 0.6486486486486487]","[0.9181818181818182, 0.7272727272727273]","[0.9528301886792453, 0.6486486486486487]"
Gradient Boosting,15,3,1.0,1.0,0.9028925619834711,0.6647220830397396,0.6632124352331606,0.7619047619047619,0.8314474304573314,0.8601398601398601,0.7272727272727273,0.9191919191919192,0.8,0.883495145631068,0.8232323232323233,"[0.883495145631068, 0.8]","[0.9191919191919192, 0.7272727272727273]","[0.900990099009901, 0.7619047619047619]","[0.9191919191919192, 0.7272727272727273]"
Gradient Boosting,16,4,1.0,1.0,0.9330232558139533,0.6970728817500202,0.6966768795663445,0.7857142857142857,0.8483026874115983,0.8741258741258742,0.7674418604651163,0.92,0.8048780487804879,0.9019607843137255,0.8437209302325581,"[0.9019607843137255, 0.8048780487804879]","[0.92, 0.7674418604651163]","[0.9108910891089109, 0.7857142857142857]","[0.92, 0.7674418604651163]"
Gradient Boosting,17,4,1.0,0.9933774834437086,0.9529100529100529,0.7778522855705868,0.7773163768492084,0.8333333333333334,0.8886292834890965,0.916083916083916,0.8571428571428571,0.9351851851851852,0.8108108108108109,0.9528301886792453,0.8961640211640212,"[0.9528301886792453, 0.8108108108108109]","[0.9351851851851852, 0.8571428571428571]","[0.9439252336448598, 0.8333333333333334]","[0.9351851851851852, 0.8571428571428571]"
Gradient Boosting,18,4,1.0,0.9901639344262295,0.9542699724517907,0.7188487125829616,0.7182662538699691,0.78125,0.8590934684684685,0.9020979020979021,0.7575757575757576,0.9454545454545454,0.8064516129032258,0.9285714285714286,0.8515151515151516,"[0.9285714285714286, 0.8064516129032258]","[0.9454545454545454, 0.7575757575757576]","[0.9369369369369369, 0.78125]","[0.9454545454545454, 0.7575757575757576]"
Gradient Boosting,19,4,1.0,0.986013986013986,0.9593352192362093,0.7400447251287909,0.7302904564315353,0.8,0.8644549763033176,0.8951048951048951,0.7142857142857143,0.9702970297029703,0.9090909090909091,0.8909090909090909,0.8422913719943423,"[0.8909090909090909, 0.9090909090909091]","[0.9702970297029703, 0.7142857142857143]","[0.9289099526066351, 0.8]","[0.9702970297029703, 0.7142857142857143]"
Gradient Boosting,20,4,1.0,1.0,0.9525094441446303,0.6754270696072443,0.6753038600240416,0.7536231884057971,0.8376410872904562,0.8811188811188811,0.7647058823529411,0.9174311926605505,0.7428571428571429,0.9259259259259259,0.8410685375067458,"[0.9259259259259259, 0.7428571428571429]","[0.9174311926605505, 0.7647058823529411]","[0.9216589861751152, 0.7536231884057971]","[0.9174311926605505, 0.7647058823529411]"
Gradient Boosting,21,5,1.0,1.0,0.9491330953595106,0.6990430419189336,0.6980499316855049,0.7792207792207793,0.8489405331510596,0.8811188811188811,0.8108108108108109,0.9056603773584906,0.75,0.9320388349514563,0.8582355940846507,"[0.9320388349514563, 0.75]","[0.9056603773584906, 0.8108108108108109]","[0.9186602870813397, 0.7792207792207793]","[0.9056603773584906, 0.8108108108108109]"
